171
0	46	1
1	47	2
2	48	3
3	49	4
4	50	5
5	50	6
6	51	7
7	52	8
8	52	9
9	53	10
10	54	11
11	54	12
12	55	13
13	15	14
15	56	16
16	57	17
17	58	18
18	59	19
19	60	20
20	61	21
21	62	22
22	63	23
23	64	24
24	65	25
25	66	26
26	67	27
27	68	28
28	69	29
29	70	30
30	71	31
31	72	32
32	73	33
33	46	0
34	46	35
35	74	36
36	75	37
37	76	38
38	77	39
39	73	34
40	78	41
41	79	42
42	59	43
43	61	44
44	80	45
45	81	40
46	47	1
47	48	2
48	49	3
49	50	4
50	51	6
51	52	7
52	53	9
53	54	10
54	55	12
55	56	13
56	57	16
57	58	17
58	59	18
59	60	19
60	61	20
61	62	21
62	63	22
63	64	23
64	65	24
65	66	25
66	67	26
67	68	27
68	69	28
69	70	29
70	71	30
71	72	31
72	73	32
73	34	33
46	47	35
35	82	74
74	83	36
36	83	75
75	84	37
37	84	76
76	85	38
38	85	77
77	71	39
39	72	73
40	84	78
78	86	41
41	86	79
79	87	42
42	87	59
59	60	43
43	60	61
61	62	44
44	62	80
80	88	45
45	88	81
81	76	40
47	89	48
48	90	49
49	91	50
50	91	51
51	92	52
52	92	53
53	93	54
54	93	55
55	94	56
56	15	13
56	94	57
57	94	58
58	87	59
62	64	63
64	66	65
66	68	67
68	70	69
70	77	71
71	39	72
47	82	35
82	89	74
74	95	83
83	96	75
75	78	84
84	40	76
76	97	85
85	98	77
78	75	86
86	99	79
79	100	87
62	64	80
80	101	88
88	97	81
81	97	76
47	82	89
89	90	48
90	91	49
91	92	51
92	95	53
53	99	93
93	94	55
94	87	58
64	101	66
66	102	68
68	98	70
70	98	77
89	103	74
74	103	95
95	104	83
83	104	96
96	86	75
97	102	85
85	102	98
86	96	99
99	100	79
100	94	87
64	101	80
101	105	88
88	106	97
89	103	90
90	103	91
91	95	92
95	104	53
53	104	99
99	100	93
93	100	94
101	105	66
66	105	102
102	98	68
103	107	95
104	99	96
97	106	102
105	106	88
103	107	91
91	107	95
105	106	102
